SampleID,score_XY,score_YX,labels
pair1,0.0020256814576178387,0.006156106361954263,-1.0
pair2,0.008583622082030595,0.02834822876189137,-1.0
pair3,0.0023214981258681405,0.0020529157929197674,-1.0
pair4,0.003972384613068002,0.003073660669097163,-1.0
pair5,0.0006035740908061368,0.0011074007013390182,-1.0
pair6,0.0007055918065186813,0.0004083194781667024,-1.0
pair7,0.0006874392732631968,0.0009632581672557475,-1.0
pair8,0.0004356595822038314,0.0007988136041324133,-1.0
pair9,0.0007540986017932431,0.0005872949565236315,-1.0
pair10,0.0011908775415742814,0.002082170501725045,-1.0
pair11,0.0007008792007463348,0.0016025596917364107,-1.0
pair12,0.008473125086043016,0.009665038653211847,-1.0
pair13,0.07414778527056612,0.010668495429350684,-1.0
pair14,0.0050659391194395765,0.00684945939729022,-1.0
pair15,0.06964997219980551,0.0036111211619435646,-1.0
pair16,0.002739416616852614,0.007199477999762326,-1.0
pair17,0.03226324597959956,0.0007741337244945983,-1.0
pair18,0.0017857162061255898,0.0025596130620082784,-1.0
pair19,0.0014898433659302115,0.006156479076892593,-1.0
pair20,0.011325053659336249,0.009155140740482497,-1.0
pair21,0.0032511648416237255,0.011192980245970112,-1.0
pair22,0.0009780501398749003,0.0017289373174930892,-1.0
pair23,0.0014972833751922313,0.0029943061908347425,-1.0
pair24,0.0009757964150546812,0.0015839383972379687,-1.0
pair25,0.010878892028490794,0.0016166712141020931,-1.0
pair26,0.0006178420352456976,0.002868384720263513,-1.0
pair27,0.0001367484491382548,0.0035702388243641268,-1.0
pair28,0.01004811044595469,0.0044182554614237,-1.0
pair29,0.00036979439071845396,0.0030416315141404498,-1.0
pair30,0.0027465777081391333,0.0010511958734876288,-1.0
pair31,0.002379106630773551,0.0015475448971873113,-1.0
pair32,0.0005064265657006723,0.0027820807296213257,-1.0
pair33,0.00045445081128623677,0.0015569094942502791,-1.0
pair34,0.0002994162300880073,0.0013496249204695077,-1.0
pair35,0.0042752023988976194,0.0010793459080843746,-1.0
pair36,0.0019278296169624699,0.0009414124340285556,-1.0
pair37,0.0020546849313333314,0.000842400627275091,-1.0
pair38,0.0008652750872738896,0.0016358188886361144,-1.0
pair39,0.0010597490626003566,0.0019764760628599703,-1.0
pair40,0.00038805117694045745,0.0038984592013453718,-1.0
pair41,0.0011757356535348849,0.005080422083612708,-1.0
pair42,0.00018256438218024063,0.005183560754601542,-1.0
pair43,0.11653658872104236,0.11653658872104294,-1.0
pair44,0.06342263362892651,0.06342263362892654,-1.0
pair45,0.05886562816116903,0.05886562816116905,-1.0
pair46,0.004252470306253759,0.005738219152214287,-1.0
pair47,0.013152592665543928,0.0051814957595072006,-1.0
pair48,0.004819430773156467,0.0121069174422186,-1.0
pair49,0.0008905874996724407,0.0025486908038961278,-1.0
pair50,0.0024115368236764965,0.0014200541903876549,1.0
pair51,0.0013140914574042263,0.002669761490400696,1.0
pair52,0.003072601083281527,0.004314290615238549,1.0
pair53,0.003283532773196974,0.006828174829668936,1.0
pair54,0.020273636917247033,0.009606574726252069,1.0
pair55,0.0038366661765555856,0.008819664661864615,1.0
pair56,0.0036815466736789255,0.002384747927910507,1.0
pair57,0.010782458825202781,0.0030592166141036425,1.0
pair58,0.015472110206911903,0.0056344522442763195,1.0
pair59,0.003986063261863059,0.005707900394029652,1.0
pair60,0.020262116769257123,0.019555017866229728,1.0
pair61,0.001305430268443145,0.0011006447833052794,1.0
pair62,0.001052455546788812,0.0006936571963120738,1.0
pair63,0.002074851793241991,0.001044344934120812,1.0
pair64,0.02553733628387528,0.010506985481952617,1.0
pair65,0.00037722834092105307,0.0036424023351246076,1.0
pair66,0.0034781409114939908,0.06060109109794915,1.0
pair67,0.001125593991102468,0.00020067619172908901,1.0
pair68,0.008791123278514931,0.0803640417962398,1.0
pair69,0.01932918550321802,0.03727412959458807,1.0
pair70,0.02594496622583482,0.036456951446531244,1.0
pair71,0.001901184490062432,0.000909485122476144,1.0
pair72,0.003969341011063402,0.03345282358874805,1.0
pair73,0.01650366869635572,0.0019387294017312003,1.0
pair74,0.0045246210861015195,0.0009796204672154654,1.0
pair75,0.018851375368338176,0.0008069919591371974,1.0
pair76,0.0014285731827049226,0.0007980052191617605,1.0
pair77,0.000481917050842071,0.0005461594163244484,1.0
pair78,0.001122249476721339,0.0015887194326862646,1.0
pair79,0.0016223966046926789,0.0006107521489896665,1.0
pair80,0.00038694253673526575,0.0004665709961736945,1.0
pair81,0.0031049442072028175,0.0010904001772925978,1.0
pair82,0.0001348275423739666,0.021091641209714747,1.0
pair83,0.0028320755012094935,0.0005087658351980686,1.0
pair84,0.001627101047290153,0.0016620588731358148,1.0
pair85,0.004725083258128823,0.0030514292219757026,1.0
pair86,0.00752910979660795,0.0012319318655021367,1.0
pair87,0.00495443737612098,0.003894779146942177,1.0
pair88,0.0015987958061254662,0.0018959266142311328,1.0
pair89,0.0006628178110452541,0.00032359601382251686,1.0
pair90,0.00643170407143755,0.0006560342806532658,1.0
pair91,0.0183266853179179,0.002039800421166485,1.0
pair92,0.006672857495206058,0.007041861363321388,1.0
pair93,0.021668142506587183,0.017113970577897493,1.0
pair94,0.0009865929776115957,0.0011691731316492958,1.0
pair95,0.0014311068119190837,0.0013255316622438433,1.0
pair96,0.030132999132421942,0.0013943478411430925,1.0
pair97,0.012733377129237057,0.01275140160716486,1.0
pair98,0.002479088995021601,0.0023703504477903836,1.0
pair99,0.007225903029063856,0.007225903016941788,1.0
